Nome,Tipo,Papel,Descrição,Links,avatar-id
Ana Cecília Holler,Autor,Produtora de conteúdo e Diagramadora,"Bióloga e mestranda do LAFUC - PPGZOO/UnB com o professor Reuber Brandão. Apaixonada pelas formas da natureza, hoje trabalha com descrição genética críptica da perereca reticulada Pithecopus oreades e sua distribuição interessantíssima ao longo dos picos de montanha do Cerrado. Faz parte deste projeto desde sua origem.",,acholler
Beatriz Vasconcelos,Autor,Produtora de conteúdo e Ilustradora,"Bióloga herpetóloga com um pezinho na ornitologia. Adora fotografar, ilustrar (@bandoleta_) e ir à campo para adquirir conhecimento e novas histórias. É mestranda no @mapinguariufms onde estuda a genética populacional do jacaré-paguá Paleosuchus palpebrosus.",,bvasconcelos
José Marcos Abreu,Autor,Produtor de conteúdo,"Em formação em Ciência Biológicas. Pesquisa história natural de jacarés e possui experiência com inventário de avifauna do Cerrado. Particularmente, é interessado em divulgação científica e plantio de lúpulo para produção de cerveja.",Site: https://teste.com,jmabreu
Pedro de Siracusa ,Autor,Fotógrafo e Programador,"Biólogo e mestre em modelagem computacional. Apaixonado por natureza, arte e máquinas. É o responsável pela construção e manutenção do guia na web, além de parte do material fotográfico.",Site: https://pedrosiracusa.github.io; Linkedin: https://www.linkedin.com/in/pedrosiracusa/,pcsiracusa
Anderson De Lima,Autor,Produtor de conteúdo,"Biólogo desde criancinha! Formado pela UnB, mestre e doutorando em Zoologia, também pela UnB. Apaixonado pela herpetofauna e focado em entender os padrões e processos geradores da diversidade desse grupo no Cerrado. Busco compreender a evolução morfológica de alguns grupos de interesse por meio de estudos descritivos e comparativos. Além disso, leciono Ciências nos anos finais do ensino fundamental buscando inspirar nas próximas gerações o desejo pelo conhecimento, sobretudo do estudo da vida!compreender a evolução morfológica de alguns grupos de interesse por meio de estudos descritivos e comparativos.",,alima
Yan Soares,Colaborador,Apoio em campo,"Biólogo, mestre em Zoologia/UnB e aluno de doutorado em Ecologia/UnB. No doutorado estudo peixes de riachos do Brasil central.",,ysoares
